Time,In/Temperature (BMS ECM/Power Limits),road_slope,In/Specific Consumption Avg (BMS Monitor),In/Energy (BMS Monitor),In/Desired Velocity (Vehicle Monitor),In/Actual Velocity (Vehicle Monitor),In/Distance (Vehicle Monitor),In/Range (BMS Monitor),In/Voltage (BMS Monitor),In/Current (BMS Monitor),In/Power (BMS Monitor),In/SoC (BMS Monitor)
105,293.1823686,259,25.75002913,38.36049822,14.2699995,14.52284252,0.662491577,148.9726401,480.1725605,-7.98963229,-3.836402194,79.72719791
106,293.1824156,259,25.81263652,38.35901532,15.48999977,15.28891146,0.666629577,148.6055688,480.0060442,-9.336703207,-4.481673972,79.7244857
107,293.182416,259,25.82499334,38.35781847,15.88000011,15.64095645,0.670945071,148.5298291,480.5029173,-5.247758952,-2.521563486,79.72229665
108,293.1823432,259,25.74182458,38.35727422,15.27999973,15.02372032,0.675227088,149.007597,480.8288744,-2.568314916,-1.23491997,79.72130121
109,293.1822648,259,25.65629166,38.35681741,14.14363609,14.1666307,0.67925864,149.5025779,480.8979518,-1.99626552,-0.96,79.7204657
110,293.1821895,259,25.58507138,38.3563894,14.02999973,12.76498564,0.683101281,149.9170701,481.098433,-0.347124029,-0.167000826,79.71968284
111,293.182104,259,25.52285456,38.35610028,9.431999589,9.258717735,0.686087673,150.2813887,480.8968706,-1.996270009,-0.96,79.71915404
112,293.1820182,259,25.47733579,38.3557971,8.485454039,8.340875813,0.688503449,150.5486972,480.8964133,-1.996271907,-0.96,79.71859953
113,293.1819359,259.875,25.4464298,38.35543386,8.269999504,7.784614654,0.69076716,150.7301188,480.8958657,-1.99627418,-0.96,79.71793514
114,293.1818505,260,25.41679485,38.35513068,6.919999885,6.771407949,0.692765385,150.9046711,480.8954084,-1.996276078,-0.96,79.71738062
115,293.1817894,260,25.4367567,38.35451814,6.699999809,7.004509176,0.694629839,150.7838385,480.1481636,-8.115690497,-3.896733889,79.71626024
116,293.1821139,260,25.69078783,38.3521666,9.420000076,10.2301709,0.696914543,149.283731,477.4408791,-30.28507725,-14.45933391,79.71195915
117,293.1842291,260,26.3883826,38.34631126,17.6036363,16.37637692,0.700680234,145.3151254,477.6078178,-28.84573806,-13.77695001,79.70124915
118,293.1846309,260,26.58323551,38.34365264,18.25199966,18.10104538,0.705545436,144.2399765,480.1596121,-7.888344432,-3.787664403,79.69638614
119,293.1845552,260,26.47489779,38.34319068,17.39999962,17.31768513,0.710513413,144.8284748,481.1415107,0.303063424,0.145816394,79.69554115
120,293.1844569,260,26.34356111,38.34317632,15.56999969,15.55615141,0.71507453,145.5504674,481.0059647,-0.942314099,-0.453258702,79.69551489
121,293.1843635,260,26.2376349,38.34291069,14.08699932,14.12987249,0.719184583,146.1370693,480.7883124,-2.723779943,-1.309561562,79.69502901
122,293.1842949,260,26.1873928,38.34227615,13.09999943,13.56262401,0.722987449,146.415019,480.1831919,-7.67791075,-3.686803691,79.69386833
123,293.1843708,260,26.27200831,38.34064424,14.29399987,14.59131605,0.726870484,145.9372416,479.3509252,-14.48234302,-6.942124527,79.69088328
124,293.1846494,260,26.45141134,38.33820253,16.3159996,16.35913993,0.731171507,144.9382116,479.2028636,-15.6664083,-7.507387717,79.68641691
125,293.1850217,260,26.64612002,38.33550857,17.61999893,18.14993557,0.735938821,143.8690081,478.1496714,-24.26958011,-11.60449175,79.68148906
126,293.1860292,260,27.01533327,38.33132292,20.85299892,20.96685204,0.741374524,141.8872851,477.8387982,-26.76783849,-12.79071177,79.67383241
127,293.186727,260,27.2638512,38.32780579,22.97090808,22.99580581,0.747516998,140.5810409,479.2063853,-15.51005394,-7.432516883,79.66739854
128,293.1868946,260,27.30338221,38.32573675,23.18000031,23.7984823,0.7540127,140.3699236,479.1277665,-16.12927875,-7.727985304,79.66361358
129,293.1871491,258,27.36874589,38.32339084,24.67000008,24.77082448,0.760783419,140.0261122,479.9662241,-9.224598799,-4.427495854,79.65932209
130,293.1871005,258,27.24482837,38.32246451,24.06999969,24.57994786,0.767643693,140.6595923,480.3007865,-6.469551807,-3.107330821,79.6576275
131,293.1870367,257,27.1025311,38.32179068,24.06999969,24.11965219,0.774437793,141.3956156,481.1733024,1.244291972,0.598720077,79.65639481
132,293.1869992,257,26.97375803,38.32131825,22.59999924,23.43902881,0.780978782,142.0688886,479.3104538,-14.57659667,-6.986715165,79.65553057
133,293.1873861,257,27.09719087,38.31853931,24.69363629,24.7677608,0.787676727,141.4114824,479.1957683,-15.48291682,-7.41934822,79.65044679
